序号,日期,航煤90%回收温度,FI10201,TI10503,TE10310,TI10403,TI10406A,TI10408A,TI10409A,TI10411A,TI10412A,TI10413A,TI10414A,TI10425,PDI10404,TI10405,TI10417A,TI10419A,TI10421A,PDI10405,PI10602,FI10601,FI10706,FI10801,FI11006,FI20102,FI20105,FI20104,PI20301,FI20302,FI20301,TE20315,FI20501,TE20304,FI20402,FI20304,TE20302,FI20605,TE20305,TE20303,TE20402,PI20701,FI20701,TI20801,FI20901
1553,2019/10/4 20:00,214,266.8712463,373.1000061,464.7923279,347.8731689,353.4599915,371.9954529,364.1054688,387.2377014,385.2599792,395.7922974,400,404.7877197,237.149353,390.269989,387.4276428,384.9299927,395.2154541,199.3863831,2.718354464,179.3384552,32.1778183,97.33805847,72802.92969,29.31588554,223.4954376,27.93577766,0.043467481,106.4380569,2.406364202,314.9000244,174.5475159,173.6077576,0,31.86291695,199.6000061,57.03306198,221.5077362,188.9000092,195.7999878,0.975134671,25.51940727,76.99119568,41.80856705
1554,2019/10/5 8:00,214,267.8859863,373.2000122,467.8999939,347.7024841,354.3845215,373.6554871,364.6585083,388.6910095,385.8165283,396.4365234,400,404.7600098,233.8795776,389.1000061,386.1054688,384.6869812,395.6154785,204.3766327,2.716053247,184.5922241,32.02769852,94.31908417,75029.82031,27.97185516,224.3398438,27.38618469,0.04145449,99.55233002,2.417818069,316.6000061,179.2407074,174.4000092,0,33.44116974,202.3999939,56.98908615,221.9000092,186.8999939,195.3999939,0.980079532,25.21091652,76.10773468,42.72054291
1555,2019/10/5 20:00,213,265.9322815,372.7000122,463.4421692,345.7166443,352.769989,371.9653625,362.9493103,386.9146423,384.6473083,395.6826782,400,404.1000061,233.4841461,389.8060608,387.974823,385.7019653,395.8753357,202.7644348,2.715800047,192.7295837,31.90100479,91.11855316,73532.19531,26.3286438,224.6257629,27.26917458,0.04101681,97.3062973,2.394128799,316.6000061,178.2479858,173.9000092,0,33.58113861,204.884201,58.86419678,222.1999817,185.0999908,194.8999939,0.981749952,25.4448452,73.40579224,46.1399765
1556,2019/10/6 8:00,215,266.8406982,373.1164856,461.7008057,346.3200073,353.8902283,372.4302063,364.1202087,387.9299927,385.0097961,395.7098999,400,403.5,229.1986694,390.0507507,389.7485046,387.8195801,396.1997986,197.8146362,2.709125519,193.1017303,31.995718,93.80115509,72325.66406,26.6671524,224.1868439,27.94434738,0.040533289,97.26547241,2.405886173,317.8330383,177.1671448,173.5,0,33.01220322,205.2662811,59.00313187,221.5674591,185.5,195.1999969,0.983082891,25.52127647,73.39505768,46.36496353
1557,2019/10/6 20:00,221,266.4375305,372.3250122,464.5079956,346.3223877,353.8594971,372.3899841,364.3499756,388.0247498,384.8052673,395.2452698,400,403.0018311,231.4967194,389.5570984,390.9868469,388.509491,395.3305359,199.1190796,2.711394548,192.413269,31.88768768,94.36306,71030.69531,28.38080215,222.7303162,27.24724388,0.043629762,99.39672852,2.410568476,317.3999939,178.2256165,173.6999969,0,34.04944229,204.6080475,59.07104874,220.6919403,186.3999939,195.3999939,0.976125002,25.10787964,73.71620941,46.16596985
1558,2019/10/7 8:00,221,267.6604919,373.8250122,455.3999939,346.245575,353.7851868,371.1900024,363.8604126,385.980011,385.2348022,395.8703918,400,403.3703613,243.6050568,389.9855957,391.4544067,389.4203796,397.9092102,199.3339996,2.714287996,191.0118866,32.09961319,93.06985474,72628.55469,26.56515503,221.2717133,27.55078506,0.041373689,97.58996582,2.388157845,316.3000183,178.0166626,173.5,0,32.50993347,205.8841553,59.05366135,222.5841522,185.8999939,195.3999939,0.979664624,25.02502632,73.30420685,45.13011932
1559,2019/10/7 20:00,219,266.5950623,373.5895691,458.7167358,346.5975342,354.0299988,372.3299866,364.6150208,387.6850281,386.3475647,397.5899963,400,404.5875549,237.5327911,389.6749878,390.1450195,388.9950562,396.7599487,200.1791534,2.716383934,193.4974976,31.97299004,94.95454407,72521.46094,26.78384781,222.825531,28.09902954,0.044304885,98.18558502,2.392439127,316.6167603,179.4838409,173.1000061,0,32.54474258,203.2000122,57.95778275,220.9415588,185.5,194.3000031,0.975698054,24.98129463,74.32922363,46.06447601
1560,2019/10/8 8:00,219,267.454895,372.0003052,465.6000061,346.340271,354.1199951,373.0402527,364.8900146,388.7294922,386.02948,396.7901306,400,404.7903748,228.3907776,390.4706421,388.5108948,388.0289612,394.991272,199.5772247,2.720122337,193.0747986,32.12077332,94.59822845,72838.09375,27.45528221,226.1644897,27.7592659,0.044766799,98.24098969,2.411632776,317.533844,177.8830109,171.9000092,0,32.63103867,203.766098,57.95687103,221.2017365,184.8999939,194.3000031,0.982500017,25.08636284,74.63330841,46.59293747
1561,2019/10/8 20:00,218,266.587738,372.4065552,462.0088501,345.8752441,353.2799988,372.1552429,364.1894836,388.0305176,385.6721191,396.2399902,400,404.6999817,229.3206177,390.3431396,390.3033142,388.6094971,394.6882935,199.6271973,2.720259905,186.4229584,32.08406448,93.54398346,71806.03125,27.97300339,224.5338745,27.29065132,0.043101799,98.4546814,2.413120985,317.8911438,178.2525787,173.091095,0,31.96777725,204.3821716,57.99980927,221.3999939,185.5999908,194.6999969,0.979591548,25.0679245,74.08866119,45.72914886
1562,2019/10/9 8:00,221,266.9006042,375.375,459.9633179,347.6700134,354.9204712,373.3104858,365.5624084,388.2380981,387.269989,397.0214539,400,404.6999817,244.7797852,392.5361633,394.6404724,392.3209839,398.6428833,198.3209839,2.715717316,197.5439911,31.98059464,90.39974213,72576.28906,25.63926697,226.5061493,26.83740616,0.041913699,97.15318298,2.407091379,318.5,178.1078033,173.2999878,0,30.90998077,204.6315765,57.04657745,222.2947235,185.8999939,194.7999878,0.981414497,24.94652176,74.02315521,45.00153732
1563,2019/10/9 20:00,217,265.7257385,375.0999756,466.6000061,349.1404114,356.25,375.7507935,365.9100037,389.3399963,386.8492432,397.0192566,400,404.7900085,235.4480591,391.948822,394.0496216,391.5280762,396.9907532,194.5019379,2.711233377,184.6047058,32.02730942,93.76204681,73632.20313,29.21686363,223.2254333,26.68650436,0.041839786,99.79771423,2.418492794,314.8012085,177.1795959,172.6999969,0,33.10029221,202.7988739,56.98034286,220.401123,186.1999969,195.2999878,0.982002854,23.34499741,72.92965698,45.11830521
1564,2019/10/10 8:00,219,266.6785278,375.035675,465.4144287,348.3000183,355.7999878,374.9700012,366.1243591,389.3999939,387.1115723,397.3199768,400,405.2743835,234.195282,392.4559631,394.1868591,391.9584351,396.9728088,192.8932343,2.706112385,186.508316,32.12599945,93.00752258,72024.83594,27.99564362,225.7350006,26.64900017,0.039625652,99.3809967,2.407714367,315.8000183,177.0531158,171.4000092,0,32.91154099,203.9571381,57.04142761,220.9000092,185.3000031,194.1000061,0.984107137,23.45485687,72.23999786,46.05654144
1565,2019/10/10 20:00,219,266.7900696,374.9499817,466,350.3699951,357.7952881,375.0599976,367.4776306,389.3399963,388.3647461,398.3770752,400,405.2400208,242.3431854,392.9847107,395.744751,392.5658264,398.0923767,195.2395325,2.714549065,185.9895172,32.04042816,93.97781372,73040.28125,27.81941605,219.6931763,28.04198837,0.041280173,98.39599609,2.390648365,317.0999756,176.9675751,171.1000061,8.342967987,30.01927567,201.7000122,57.81088638,224.7746887,183.5999908,193,0.980750024,22.62550354,73.95753479,43.79457474
1566,2019/10/11 8:00,224,268.8767395,374.7250061,468.2835693,349.4498901,357.3200989,375.4199829,367.5398865,389.675293,388.5899963,399.1697693,400,405.3599854,238.6890564,392.3001099,395.6901245,392.1547241,397.7944031,197.5799255,2.717232943,200.3659668,31.98167992,91.98434448,71055.35938,27.00886917,223.0758972,28.83889389,0.040426999,94.15647888,2.380660057,315.9507751,178.1069183,172.0163269,0,34.61047745,203.5163269,57.91898346,221.9673309,182.5999908,192.7000122,0.98724997,22.95477295,72.92428589,47.02791214
1567,2019/10/11 20:00,220,274.6882324,374.4249878,463.9039612,346.9932861,353.6099854,371.5223083,364.3211365,386.2811584,385.1376953,395.7611694,400,403.7400208,254.514328,392.5765686,392.5621338,390.6634521,397.7988281,203.1486664,2.720792294,195.75354,31.96148872,96.20272827,73723.74219,26.86284828,232.84198,28.49769783,0.045068715,105.099968,2.408675432,316.3999939,180.1945648,171.147934,0,34.61040878,201.5479279,54.96644592,228.491745,188,195.9519806,0.98413533,23.97292709,73.61082458,47.20783997
